feature,coefficient_standardized
s3_TSM_NN_mean,0.3144162505474305
s3_CHL_OC4ME_mean,0.24389535582842495
s3_ADG443_NN_mean,-0.13897696331860865
Latitude,-0.13825233832808517
Longitude,0.1378755731786268
s3_CHL_NN_mean,0.10832510714318772
s3_B11_mean,-0.10447671688933541
valid_pixel_count,-0.100119965785446
s3_B06_mean,-0.04638652855729121
sat_time_diff_hours,0.0320322297077366
doy_sin,-0.026103452900398217
s3_KD490_M07_mean,-0.012608267819242208
