rmse_raw,mae_raw,r2_raw,bias_raw,nrmse_mean,nrmse_std,nrmse_iqr,nmae_mean,nmae_std,nmae_iqr,fold,model,n_train,n_test
2.115428547979308,1.2984918253230484,0.08847063815943257,-0.48531722761204715,1.0242350785222325,0.9547404683161634,1.1342780418119613,0.628695721224255,0.586038556867279,0.696242265588766,1,linear,213.0,131
1.7857256847163738,0.9960577267799431,0.007114028212158896,-0.04848833084271097,1.2544613169767291,0.9964366371164005,1.3579663001645428,0.6997244304741433,0.555801162597968,0.7574583473611735,2,linear,294.0,50
1.0116393980687515,0.761220598342947,0.10634104182560977,0.19108099056573002,0.8890661037843606,0.9453353680966295,1.0537910396549497,0.6689888044901644,0.7113293095454962,0.7929381232739033,3,linear,261.0,83
0.6316443135783585,0.495955122770063,0.1854912988654508,0.24395951222563433,0.6465422988911047,0.9025013579682576,0.8896398782793783,0.5076527379879558,0.7086269315963197,0.6985283419296663,4,linear,297.0,47
1.5489472851118784,0.8257883236384255,0.06777506665267741,0.07434700380751753,0.9847849033559769,0.9655179611728216,1.4210525551485125,0.5250171405465377,0.514745379822339,0.7576039666407575,5,linear,311.0,33
1.6429383889151994,0.9699056121193084,0.13370884467702993,-0.10529564808751522,1.0583643676579737,0.9307476324562798,1.1937790291845227,0.6248034295043522,0.5494651280150349,0.7047452222483621,overall,linear,,344
2.2152645065740164,1.313806484391797,0.0004025970630763265,-0.5987488686658408,1.0725730339631145,0.9997986812038329,1.187809386902958,0.6361106778999622,0.5929504068493388,0.7044538790304542,1,random_forest,213.0,131
1.818484776622029,0.8908248281566373,-0.02964905112666072,-0.28928747351401507,1.2774743776761706,1.0147162416787567,1.3828781571270183,0.6257989660390849,0.4970811046878011,0.6774333293966824,2,random_forest,294.0,50
1.0313497130897922,0.7642165437817774,0.07117852430838045,0.1147460417610868,0.9063882573240234,0.9637538460061363,1.0743226178018672,0.6716217521032529,0.7141288972144036,0.796058899772685,3,random_forest,261.0,83
0.4820341393407612,0.3615434445197992,0.5256420955818807,0.09336382295308604,0.4934034137468864,0.6887364549797834,0.6789213230151568,0.3700708210996051,0.5165778312720644,0.5092161190419708,4,random_forest,297.0,47
1.3689221557136166,0.7316278658879661,0.2718766746189746,-0.09087983201281229,0.8703290846459752,0.8533014270356198,1.2558918859757953,0.4651520966053922,0.45605157270303703,0.6712182255852901,5,random_forest,311.0,33
1.6785756775846559,0.9337678065807506,0.0957194759958987,-0.23833572320460308,1.0813215501927358,0.9509366561470335,1.2196735168644184,0.6015238190421387,0.5289925545003417,0.6784870529197098,overall,random_forest,,344
2.261077798614942,1.381875781292224,-0.04136973585541193,-0.35382112465923976,1.0947546296571509,1.0204752499964964,1.2123741547533202,0.6690680480377336,0.6236716110529711,0.7409521615507905,1,xgboost,213.0,131
1.8061797242646955,0.7911848262786866,-0.015761644096749627,-0.4741417751312256,1.2688301540321008,1.0078500107142678,1.3735207028628864,0.5558024771891019,0.4414818885017459,0.6016614648507123,2,xgboost,294.0,50
1.0772100150050112,0.7432943327685436,-0.013260491219634352,0.10558311286604549,0.9466919861230152,1.0066084100680037,1.1220937656302203,0.6532345395613134,0.6945779523941955,0.7742649299672332,3,xgboost,261.0,83
0.5052037612363908,0.34161064833783095,0.4789448447942116,-0.08509493771005183,0.5171195151710777,0.7218415028285562,0.7115545932906914,0.34966788927582504,0.48809760080751957,0.4811417582222972,4,xgboost,297.0,47
1.449328286922834,0.789325358650901,0.18382934496344816,0.20000672976175937,0.9214494454956849,0.9034216374631237,1.3296589788282884,0.5018348296980971,0.4920166220708913,0.7241517051843129,5,xgboost,311.0,33
1.7138915472713683,0.9429704522975655,0.057268542168685155,-0.17062063287579737,1.1040716778551298,0.9709435914775455,1.245334457599541,0.6074520707529579,0.5342059823263935,0.6851738073006833,overall,xgboost,,344
