Country,STATN,MYEAR,DATE,Latitude,Longitude,DEPHU,DEPHL,MATRX,PARGROUP,PARAM,BASIS,QFLAG,Value,MUNIT,VFLAG,tblAnalysisID,tblParamID,tblSampleID,year,month,dayofyear,sample_depth_m,sat_interval_from,sat_interval_to,sat_interval_mid_utc,sampleCount,noDataCount,valid_pixel_count,s3_CHL_OC4ME_mean,s3_CHL_OC4ME_stDev,s3_CHL_OC4ME_min,s3_CHL_OC4ME_max,s3_CHL_NN_mean,s3_CHL_NN_stDev,s3_CHL_NN_min,s3_CHL_NN_max,s3_TSM_NN_mean,s3_TSM_NN_stDev,s3_TSM_NN_min,s3_TSM_NN_max,s3_KD490_M07_mean,s3_KD490_M07_stDev,s3_KD490_M07_min,s3_KD490_M07_max,s3_ADG443_NN_mean,s3_ADG443_NN_stDev,s3_ADG443_NN_min,s3_ADG443_NN_max,s3_B03_mean,s3_B03_stDev,s3_B03_min,s3_B03_max,s3_B04_mean,s3_B04_stDev,s3_B04_min,s3_B04_max,s3_B06_mean,s3_B06_stDev,s3_B06_min,s3_B06_max,s3_B07_mean,s3_B07_stDev,s3_B07_min,s3_B07_max,s3_B08_mean,s3_B08_stDev,s3_B08_min,s3_B08_max,s3_B10_mean,s3_B10_stDev,s3_B10_min,s3_B10_max,s3_B11_mean,s3_B11_stDev,s3_B11_min,s3_B11_max,s3_B17_mean,s3_B17_stDev,s3_B17_min,s3_B17_max,sat_time_diff_hours,has_any_numeric_value,query_status,query_error,s3_buffer_m,s3_day_window,s3_max_cloud,s3_mosaicking_order,s3_chunk_name,doy_sin,doy_cos,spatial_block
The Netherlands,BOCHTVWTM,2016,2016-04-19,53.335,6.944,1.0,1.0,SPM,O-MAJ,CPHL,W,,9.0,ug/l,A,620080,53475240,2339180,2016,4,110,1.0,2016-04-26T00:00:00+00:00,2016-04-27T00:00:00+00:00,2016-04-26T12:00:00+00:00,64,12,52,1.2247122801267183,0.3814897968737243,0.8818897604942322,2.0,1.2913385744278247,0.1421019828161627,1.0708661079406738,1.417322874069214,1.8996255695819853,0.0623212094992934,1.8048527240753167,1.967917799949646,-0.0981980636715888,0.4982887407212133,-0.4881889820098877,1.0,0.4793306950193185,0.107117327764148,0.3464566767215729,0.6811023354530334,0.0248434766052434,0.0192761388980079,-0.0134098324924707,0.0465956628322601,0.0381662146224138,0.017144004424007,0.0065675843507051,0.057234413921833,0.0713723486719223,0.0151572500218962,0.0438856184482574,0.0881618708372116,0.0793630339635106,0.0143094179415544,0.0529313050210475,0.0948637351393699,0.0772702857995262,0.0132172114577223,0.0521256141364574,0.0914944931864738,0.0769600535814578,0.0129196882318062,0.0530228614807128,0.0905423164367675,0.0771727450191974,0.0125232614418112,0.0537003725767135,0.0905240029096603,0.0168337760708079,0.004227939651872,0.0105594052001833,0.0253730900585651,180.0,True,ok,,1200,7,100,mostRecent,month_2016_04,0.9487718864399473,-0.31596187665790293,9_118
The Netherlands,HUIBGOT,2016,2016-04-19,53.55916667,6.66116667,1.0,1.0,SPM,O-MAJ,CPHL,W,,11.4,ug/l,A,620080,53475764,2339181,2016,4,110,1.0,2016-04-26T00:00:00+00:00,2016-04-27T00:00:00+00:00,2016-04-26T12:00:00+00:00,64,31,33,0.8876162966092427,0.3965407944835689,0.5826771259307861,1.889763712882996,1.092340695135521,0.1412179644043744,0.8503937125205994,1.3385826349258425,1.4864090283711753,0.1699083979844386,1.098237156867981,1.6780242919921875,-0.4688618508252231,0.3312427709695687,-0.6771653890609741,0.374015748500824,0.2963493023857926,0.1913506835449557,-0.0472441054880619,0.5826771259307861,0.0489450322153667,0.0283732214430908,0.0027222519274801,0.0936185792088508,0.050652404202882,0.0283470603448252,0.0056337178684771,0.0974822267889976,0.0647541755302385,0.0301652799216254,0.0173345152288675,0.1163426637649536,0.0581166775840701,0.0277030971886796,0.0156132709234952,0.106967382133007,0.0456645699838797,0.0227666011678039,0.0102481162175536,0.086696982383728,0.0442080055222366,0.0217802174175631,0.0101565606892108,0.0840601846575737,0.0474723753604021,0.023415375095308,0.0121158491820096,0.0906338691711425,0.0150844681387146,0.0100760019292349,0.0017700743628665,0.0353709533810615,180.0,True,ok,,1200,7,100,mostRecent,month_2016_04,0.9487718864399473,-0.31596187665790293,9_119
The Netherlands,ROTTMPT3,2016,2016-04-19,53.5655,6.56283333,1.0,1.0,SPM,O-MAJ,CPHL,W,,22.0,ug/l,A,620080,53475755,2339182,2016,4,110,1.0,2016-04-26T00:00:00+00:00,2016-04-27T00:00:00+00:00,2016-04-26T12:00:00+00:00,64,12,52,1.2174439670947883,0.3748044117868969,0.5354330539703369,1.9370079040527344,1.0009085272367182,0.1408009450695419,0.7716535329818726,1.3858267068862915,1.5954464215498705,0.1644303994336726,1.315657377243042,1.9497994184494016,-0.1836008572091277,0.3706011263211212,-0.7244094610214233,0.6692913174629211,0.4176256639453081,0.236855395661376,0.0511810928583145,0.8385826349258423,0.0339645206863329,0.0351857226511002,-0.0001709028438199,0.1849177628755569,0.0441701444976318,0.0343568367331071,0.0152653595432639,0.1892391741275787,0.0735464409137001,0.0321926886441993,0.0349314883351326,0.20366832613945,0.068683784849082,0.0333854767941329,0.0304269548505544,0.2021118849515915,0.0548891842078704,0.0347310896612518,0.0223883800208568,0.1962157040834427,0.0541127228106443,0.0349410514104447,0.0208319351077079,0.1964537501335144,0.0601001026538702,0.0353210345510168,0.0226630456745624,0.1996215730905532,0.0239877842608481,0.0366304942187476,0.0028138074558228,0.1964537501335144,180.0,True,ok,,1200,7,100,mostRecent,month_2016_04,0.9487718864399473,-0.31596187665790293,8_119
The Netherlands,LODSGT,2016,2016-04-25,51.51533333,4.127,1.0,1.0,SPM,O-MAJ,CPHL,W,,8.1,ug/l,A,620080,53475330,2339174,2016,4,116,1.0,2016-04-28T00:00:00+00:00,2016-04-29T00:00:00+00:00,2016-04-28T12:00:00+00:00,64,58,6,1.060367445151011,0.1225471497865428,0.960629940032959,1.322834610939026,0.6456692814826965,0.0472440719604492,0.5984252095222473,0.6929133534431458,0.8174028197924296,0.2035795828128627,0.6271601915359497,1.1525921821594238,-0.3838582734266917,0.101239294345908,-0.4291338622570038,-0.1574803292751312,-0.2703412200013796,0.0855538336865428,-0.3622047305107116,-0.1850393861532211,0.0147679077150921,0.0027910756506735,0.0088015394285321,0.0166936255991458,0.0168004405374328,0.0014076312091833,0.0140751376748085,0.017975402995944,0.028186896815896,0.0012835931011645,0.0263985116034746,0.0295480228960514,0.0147831668145954,0.0006334043720512,0.0139103373512625,0.015320292674005,0.0068300433922559,0.0002320210616439,0.0066042062826454,0.0073000285774469,0.005890073099484,0.0002264958909676,0.0056703398004174,0.0062196729704737,0.0062532434239983,0.0003315300026214,0.0059450063854455,0.0068056285381317,0.0012665189763841,5.569106584557223e-05,0.0011474967468529,0.0013122967211529,84.0,True,ok,,1200,7,100,mostRecent,month_2016_04,0.9111686353326631,-0.41203363695942635,5_114
The Netherlands,WISSKKE,2016,2016-04-25,51.6015,3.7205,1.0,1.0,SPM,O-MAJ,CPHL,W,,6.9,ug/l,A,620080,53475331,2339175,2016,4,116,1.0,2016-04-28T00:00:00+00:00,2016-04-29T00:00:00+00:00,2016-04-28T12:00:00+00:00,64,25,39,1.1435493368368883,0.5229919427832886,0.5039370059967041,2.0,0.8899656625894402,0.2076656307012036,0.5039370059967041,1.3385826349258425,1.3314528251305602,0.1966949462806023,0.6996335983276367,1.5511958599090576,-0.2026044904039456,0.5373483052354369,-0.7362204790115356,1.0,0.0738945984974121,0.3136816065864435,-0.3425197005271911,1.0944881439208984,0.0422695461236752,0.0455152967161845,-0.0086855674162507,0.12795190513134,0.0451997923306547,0.0438867862205648,0.0021179853938519,0.1299111992120742,0.0610896059526847,0.0408264689864372,0.0115298936143517,0.1408795416355133,0.0511987923334042,0.0417274995596103,0.0044618071988224,0.1358806192874908,0.0428231040240438,0.0424554142627059,8.545263699488714e-05,0.1295998990535736,0.0424981998788634,0.0423302474882534,-0.0002258361637359,0.1289773285388946,0.0435442800561969,0.0427366619373763,0.0022095409221947,0.1332071870565414,0.031862733761768,0.0465861363575074,0.0007812746916897,0.132200077176094,84.0,True,ok,,1200,7,100,mostRecent,month_2016_04,0.9111686353326631,-0.41203363695942635,5_114
The Netherlands,ZIJPE,2016,2016-04-25,51.64466667,4.097,1.0,1.0,SPM,O-MAJ,CPHL,W,,1.45,ug/l,A,620080,53475322,2339176,2016,4,116,1.0,2016-04-28T00:00:00+00:00,2016-04-29T00:00:00+00:00,2016-04-28T12:00:00+00:00,64,37,27,0.3062117132875654,0.2531807127063416,-0.1102362275123596,0.6141732335090637,0.3120443103490052,0.7044303484878828,-1.0866141319274902,0.9448818564414978,0.1862804254999866,1.3890556827876452,-1.3115028142929075,2.2759296894073486,-0.6723534707669858,0.0719700636380152,-0.748031497001648,-0.5118110179901123,1.437882763368112,0.2533597748136736,0.7992125749588013,1.7834645509719849,0.0327036358692027,0.0237825754618991,0.0091311391443014,0.079720452427864,0.0291831561502207,0.0246907792207266,0.0050477623008191,0.0757286325097084,0.032666335761961,0.0271216937116925,0.00541398441419,0.0799584984779357,0.0261516506884449,0.0294901757085153,-0.0025513465516269,0.0761497840285301,0.0225864110031613,0.0302614142402283,-0.0065065454691648,0.0740440115332603,0.0218668528315093,0.0304350890222961,-0.0075502786785364,0.0738242790102958,0.0309945999998254,0.03458691552818,-0.0022583690006285,0.0888393819332122,0.0466485609455654,0.0467728693876412,0.0016235855873674,0.127860352396965,84.0,True,ok,,1200,7,100,mostRecent,month_2016_04,0.9111686353326631,-0.41203363695942635,5_114
The Netherlands,DANTZGT,2016,2016-04-29,53.40116667,5.727,1.0,1.0,SPM,O-MAJ,CPHL,W,,28.0,ug/l,A,620080,53475382,2339177,2016,4,120,1.0,2016-04-28T00:00:00+00:00,2016-04-29T00:00:00+00:00,2016-04-28T12:00:00+00:00,64,4,60,1.2608923782904944,0.1386621943001077,0.9291338324546814,1.496062994003296,1.0687663863102594,0.1309855865884466,0.8818897604942322,1.3385826349258425,1.6426934878031414,0.0390596272909618,1.5693142414093018,1.7323793172836304,-0.2102362272640069,0.1150886463357853,-0.4763779640197754,-0.0157480388879776,0.0541338469833135,0.1595510574462064,-0.1456692963838577,0.3464566767215729,0.0188384668280681,0.007223039686781,0.0086550498381257,0.0397106856107711,0.0305829050329824,0.0062295907709039,0.0229377131909132,0.0491775274276733,0.0601550366729497,0.0057085118863676,0.0528397485613822,0.0754539668560028,0.0524817665417989,0.0054777557779114,0.0462294407188892,0.0692281872034072,0.0385750919580459,0.0053157835460513,0.0330820642411708,0.0548905916512012,0.0368492703263958,0.0050633843216501,0.0309945996850729,0.0519425049424171,0.039002351462841,0.0064610442241357,0.0308847334235906,0.0560075715184211,0.0062880345930655,0.0015363656497413,0.0040223402902483,0.0100650051608681,12.0,True,ok,,1200,7,100,mostRecent,month_2016_04,0.8806828564301475,-0.47370635037968,7_118
The Netherlands,SCHAARVODDL,2017,2017-04-03,51.35033333,4.25066667,1.0,1.0,SPM,O-MAJ,CPHL,W,,5.8,ug/l,A,580734,51856058,2279478,2017,4,93,1.0,2017-04-02T00:00:00+00:00,2017-04-03T00:00:00+00:00,2017-04-02T12:00:00+00:00,64,15,49,1.2547003018612763,0.2448865708996444,0.6456692814826965,2.0,0.86324920946238,0.6590767880366138,-1.1968504190444946,1.1968504190444946,1.7567836046218872,0.211375313300254,1.3337756395339966,2.330284833908081,-0.0690181637372897,0.2858959093069039,-0.6417322754859924,1.0,0.4276072503048547,0.4554227803659921,0.0511810928583145,1.8031495809555047,0.008360577924373,0.0156636856973092,-0.0134647656232118,0.0607318356633186,0.0262464176749392,0.0127132399502047,0.0041505182161927,0.0675435662269592,0.0549451522148993,0.01122836134532,0.0308481100946664,0.084316536784172,0.0572882264244313,0.0114838345703371,0.0356822423636913,0.0935270264744758,0.0559885122490172,0.0115418467482803,0.0318918451666832,0.097299113869667,0.0557844741460011,0.0116149315992329,0.0308298002928495,0.0974089801311492,0.0533150905097017,0.0179952042696187,0.0284127332270145,0.1067110225558281,0.0224261229895815,0.0345198430031899,0.0054689180105924,0.1270363479852676,12.0,True,ok,,1200,7,100,mostRecent,month_2017_04,0.9995786855478958,-0.029025013321975237,5_114
The Netherlands,BOCHTVWTM,2017,2017-04-05,53.335,6.944,1.0,1.0,SPM,O-MAJ,CPHL,W,,6.4,ug/l,A,580733,51856482,2279188,2017,4,95,1.0,2017-04-04T00:00:00+00:00,2017-04-05T00:00:00+00:00,2017-04-04T12:00:00+00:00,64,8,56,0.8602362072893549,0.0712750665038984,0.6771653294563293,0.9763779640197754,1.4519122583525517,0.0829269177348595,1.1968504190444946,1.5433070659637451,2.1303358418600893,0.2398534571266142,1.696142554283142,2.3846397399902344,-0.4795416231666292,0.0527964937566154,-0.6181102395057678,-0.4055118262767792,1.4379218220710757,0.0809004550735953,1.3110235929489136,1.6456692218780518,0.0378851342746721,0.0124877312969119,0.0267098005861043,0.0742088109254837,0.0508719592222145,0.0120281237952623,0.0409375317394733,0.0823755636811256,0.0753169593268207,0.0122646324858233,0.0634968131780624,0.1128269359469413,0.0823647719142692,0.0128319839624124,0.0705282762646675,0.1267983019351959,0.0804375292999403,0.0134471049642027,0.0690633878111839,0.1288674622774124,0.080304119469864,0.0134725601500008,0.0694479197263717,0.1294167935848236,0.0956779288660202,0.0138296181218772,0.083291120827198,0.1505111902952194,0.1036972105503082,0.0207640019254079,0.0734214335680008,0.1770622879266739,12.0,True,ok,,1200,7,100,mostRecent,month_2017_04,0.9979887423155984,-0.06339140486951038,9_118
The Netherlands,GROOTGND,2017,2017-04-05,53.30433333,7.15666667,1.0,1.0,SPM,O-MAJ,CPHL,W,,7.1,ug/l,A,580733,51856471,2279189,2017,4,95,1.0,2017-04-04T00:00:00+00:00,2017-04-05T00:00:00+00:00,2017-04-04T12:00:00+00:00,64,15,49,1.2215972919853368,0.3290593516885184,0.9291338324546814,2.0,1.3562590248730717,0.1820919780218351,1.118110179901123,1.6850394010543823,2.01820546266984,0.1691458840658138,1.7504976987838743,2.3846397399902344,-0.1080668540481402,0.4149748431752703,-0.4173228442668915,1.0,1.125421814772548,0.3080297654516468,0.7204724550247192,1.5669291019439695,0.015179409360399,0.0145506745480661,-0.0170903652906417,0.0365062430500984,0.0347872411033936,0.0102155231530459,0.0126102492213249,0.0548356585204601,0.0694116737921627,0.0088920541164964,0.0592120140790939,0.088290050625801,0.0804181422810165,0.010413854550906,0.0672689005732536,0.0992584004998207,0.0814278689878327,0.0128180917547902,0.0646321028470993,0.1024811565876007,0.0818105349127127,0.013247525619831,0.0638264119625091,0.102993868291378,0.0891215243205732,0.0073512225900495,0.0784020498394966,0.1042390242218971,0.0576559433675542,0.0336320832652547,0.0215460695326328,0.1092013344168663,12.0,True,ok,,1200,7,100,mostRecent,month_2017_04,0.9979887423155984,-0.06339140486951038,9_118
